"sample_id","comparison_group","gene","cells","mean_expression","percent_cells_expressing"
"S1","candidate_fibroblast_state","CENPF",1042,0.0105954467675067,0.767754318618042
"S1","other_clusters","PIEZO1",1742,0.074611424070436,6.601607347876
"S1","other_clusters","PIEZO2",1742,0.00575847515848024,0.516647531572905
"S1","other_clusters","TRPV4",1742,0.0068406290050435,0.803673938002296
"S1","other_clusters","TRPA1",1742,0.000705508379914619,0.0574052812858783
"S1","other_clusters","TRPC1",1742,0.0148848595372138,1.20551090700344
"S1","other_clusters","TRPC3",1742,0.00313142056652778,0.229621125143513
"S1","other_clusters","TRPC6",1742,0.0160084994388317,1.54994259471871
"S1","other_clusters","ASIC1",1742,0,0
"S1","other_clusters","ASIC2",1742,0.000779085418386725,0.0574052812858783
"S1","other_clusters","ASIC3",1742,0.00263693463662601,0.34443168771527
"S1","other_clusters","KCNK2",1742,0.00327556304563009,0.229621125143513
"S1","other_clusters","KCNK4",1742,0.00083432569084435,0.0574052812858783
"S1","other_clusters","PKD1",1742,0.0642594027689617,6.0849598163031
"S1","other_clusters","PKD2",1742,0.0217856339733381,2.23880597014925
"S1","other_clusters","TMEM63A",1742,0.0315543860466517,2.46842709529277
"S1","other_clusters","TMEM63B",1742,0.040198116138682,4.07577497129736
"S1","other_clusters","TMEM150C",1742,0.00984949444746478,0.918484500574053
"S1","other_clusters","PANX1",1742,0.0806707103802754,8.43857634902411
"S1","other_clusters","P2RX4",1742,0.0626888338494687,5.2812858783008
"S1","other_clusters","P2RX7",1742,0.0512707572845108,4.47761194029851
"S1","other_clusters","ITGA1",1742,0.024633286843149,2.1239954075775
"S1","other_clusters","ITGA2",1742,0.0678138878845806,6.65901262916188
"S1","other_clusters","ITGA5",1742,0.132919832013934,10.5625717566016
"S1","other_clusters","ITGA6",1742,0.17101205645845,13.8920780711825
"S1","other_clusters","ITGA8",1742,0.0466267033629484,3.04247990815155
"S1","other_clusters","ITGA11",1742,0.000577426592090417,0.0574052812858783
"S1","other_clusters","ITGAV",1742,0.124472201828175,11.5384615384615
"S1","other_clusters","ITGB1",1742,0.858720398197428,52.7554535017222
"S1","other_clusters","ITGB3",1742,0.00151068417004813,0.229621125143513
"S1","other_clusters","ITGB5",1742,0.049995188382265,4.93685419058553
"S1","other_clusters","PTK2",1742,0.137663821096814,10.849598163031
"S1","other_clusters","SRC",1742,0.0612308949716029,5.97014925373134
"S1","other_clusters","FYN",1742,0.312123214660411,21.3547646383467
"S1","other_clusters","PXN",1742,0.11162015411427,9.81630309988519
"S1","other_clusters","VCL",1742,0.198815492238696,16.6475315729047
"S1","other_clusters","TLN1",1742,0.243182020408106,19.0585533869116
"S1","other_clusters","TLN2",1742,0.0129790146279633,1.26291618828932
"S1","other_clusters","FERMT2",1742,0.116327871991555,8.95522388059701
"S1","other_clusters","ILK",1742,0.31050230297518,23.9380022962113
"S1","other_clusters","PARVA",1742,0.0448811165654238,4.36280137772675
"S1","other_clusters","BCAR1",1742,0.090286843671745,7.69230769230769
"S1","other_clusters","CAV1",1742,0.826387795690999,39.2078071182549
"S1","other_clusters","DAG1",1742,0.0452350766051343,4.53501722158439
"S1","other_clusters","YAP1",1742,0.123482040449201,11.1366245694604
"S1","other_clusters","WWTR1",1742,0.147365339203637,11.5958668197474
"S1","other_clusters","TEAD1",1742,0.0854364484319226,8.15154994259472
"S1","other_clusters","TEAD2",1742,0.038404841269421,3.27210103329506
"S1","other_clusters","TEAD3",1742,0.0369366775274334,3.9609644087256
"S1","other_clusters","TEAD4",1742,0.0296973660412258,3.32950631458094
"S1","other_clusters","LATS1",1742,0.0484693777535377,4.59242250287026
"S1","other_clusters","LATS2",1742,0.0752259928190162,7.23306544202067
"S1","other_clusters","STK3",1742,0.0772593891243666,7.69230769230769
"S1","other_clusters","STK4",1742,0.802168759843458,46.9575200918485
"S1","other_clusters","SAV1",1742,0.147627601774316,12.8013777267509
"S1","other_clusters","NF2",1742,0.0425009877156755,4.42020665901263
"S1","other_clusters","AMOTL1",1742,0.0703524628606778,7.00344431687715
"S1","other_clusters","AMOTL2",1742,0.0653327490993439,6.48679678530425
"S1","other_clusters","AJUBA",1742,0.045035963017088,5.22388059701492
"S1","other_clusters","CTGF",1742,0.320210280848933,17.3938002296211
"S1","other_clusters","CYR61",1742,0.521999051606243,28.5304247990815
"S1","other_clusters","AREG",1742,0.163410464662475,10.9070034443169
"S1","other_clusters","RHOA",1742,0.952873162212952,59.9885189437428
"S1","other_clusters","RHOB",1742,0.411947187194522,25.3157290470723
"S1","other_clusters","RAC1",1742,1.17943137549219,65.1549942594719
"S1","other_clusters","CDC42",1742,1.26613749365395,71.5269804822044
"S1","other_clusters","ROCK1",1742,0.314406431046563,24.2250287026406
"S1","other_clusters","ROCK2",1742,0.13482289246115,11.7680826636051
"S1","other_clusters","MYLK",1742,0.325043590626946,19.0011481056257
"S1","other_clusters","MYL9",1742,0.678817294594057,30.654420206659
"S1","other_clusters","ACTA2",1742,0.578693535819354,22.3880597014925
"S1","other_clusters","TAGLN",1742,0.700594961307349,28.1285878300804
"S1","other_clusters","CNN1",1742,0.133128118853066,7.23306544202067
"S1","other_clusters","CNN2",1742,0.32382846015338,25.0861079219288
"S1","other_clusters","CFL1",1742,2.15804282844604,92.1928817451205
"S1","other_clusters","PFN1",1742,2.46510166448868,94.6039035591274
"S1","other_clusters","TPM1",1742,0.431753430317549,24.6842709529277
"S1","other_clusters","TPM2",1742,0.615160003161983,27.841561423651
"S1","other_clusters","FLNA",1742,0.776992811808843,48.7944890929966
"S1","other_clusters","GSN",1742,1.13856415630486,64.1216991963261
"S1","other_clusters","DIAPH1",1742,0.239558856257362,18.9437428243398
"S1","other_clusters","LIMK1",1742,0.0182024968780188,1.83696900114811
"S1","other_clusters","COL1A1",1742,0.536782189772842,36.5671641791045
"S1","other_clusters","COL1A2",1742,0.617464617898402,41.2169919632606
"S1","other_clusters","COL3A1",1742,0.402014073786169,27.5545350172216
"S1","other_clusters","COL5A1",1742,0.0447626581416958,3.9609644087256
"S1","other_clusters","COL5A2",1742,0.0596015389064971,5.05166475315729
"S1","other_clusters","COL6A1",1742,0.29424577190868,21.2973593570608
"S1","other_clusters","COL6A2",1742,0.482811564178617,31.9173363949483
"S1","other_clusters","COL6A3",1742,0.154248081389198,12.2273249138921
"S1","other_clusters","FN1",1742,0.202505012498298,13.662456946039
"S1","other_clusters","POSTN",1742,0.151581586803138,10.9644087256028
"S1","other_clusters","TNC",1742,0.0416414503986738,3.4443168771527
"S1","other_clusters","THBS1",1742,0.234436787285267,16.3605051664753
"S1","other_clusters","THBS2",1742,0.0801053179531172,7.29047072330654
"S1","other_clusters","LOX",1742,0.0351209113355545,3.04247990815155
"S1","other_clusters","LOXL2",1742,0.0313718300739562,2.58323765786452
"S1","other_clusters","MMP2",1742,0.267041468024468,19.6900114810563
"S1","other_clusters","MMP14",1742,0.103295797972126,9.29965556831228
"S1","other_clusters","TIMP1",1742,1.14966015057565,61.8254879448909
"S1","other_clusters","TIMP2",1742,0.336852018635664,24.4546498277842
"S1","other_clusters","TIMP3",1742,0.378903598508961,23.1917336394948
"S1","other_clusters","FAP",1742,0.00797969509457649,0.803673938002296
"S1","other_clusters","CTHRC1",1742,0.0983586981513179,7.29047072330654
"S1","other_clusters","SPARC",1742,0.533162091456242,34.5579793340987
"S1","other_clusters","TGFB1",1742,0.380533093316409,27.0378874856487
"S1","other_clusters","TGFB2",1742,0.020486697272168,1.95177956371986
"S1","other_clusters","TGFB3",1742,0.0453683640923307,3.38691159586682
"S1","other_clusters","TGFBR1",1742,0.0991726248682581,8.55338691159587
"S1","other_clusters","TGFBR2",1742,0.197791838469269,15.0401836969001
"S1","other_clusters","SMAD2",1742,0.138664047547377,12.6865671641791
"S1","other_clusters","SMAD3",1742,0.104477277848804,10.2755453501722
"S1","other_clusters","SMAD4",1742,0.0882172861962505,8.43857634902411
"S1","other_clusters","SMAD7",1742,0.0311407245003327,3.27210103329506
"S1","other_clusters","SERPINE1",1742,0.0433262384039662,3.78874856486797
"S1","other_clusters","PDGFA",1742,0.14029877971775,9.81630309988519
"S1","other_clusters","PDGFB",1742,0.0818757244364469,7.06084959816303
"S1","other_clusters","PDGFC",1742,0.051019885391308,5.10907003444317
"S1","other_clusters","PDGFRA",1742,0.0390028667483414,3.21469575200919
"S1","other_clusters","PDGFRB",1742,0.1673016605638,11.2514351320321
"S1","other_clusters","INHBA",1742,0.0673052219687462,4.24799081515499
"S1","other_clusters","FOSL2",1742,0.608021794032787,39.2078071182549
"S1","other_clusters","SNAI1",1742,0.066447239827654,5.5683122847302
"S1","other_clusters","ZEB1",1742,0.101598996869974,8.03673938002296
"S1","other_clusters","IL6",1742,0.511083342206546,22.5028702640643
