"seurat_cluster","reproduced_identity","gene","samples_evaluable","sample_ids","median_log2_cpm_difference","mean_log2_cpm_difference","minimum_log2_cpm_difference","positive_sample_fraction","strong_positive_sample_fraction","percent_cluster_cells_expressing","mean_cluster_log_normalized_expression","exploratory_wilcoxon_p","exploratory_bh_fdr","expected_marker_class"
"1","Myofib","MCAM",3,"DD1;DD2;DD3",-8.29205935395295,-7.22337290472559,-8.29928442801123,0,0,1.08040201005025,0.00509698826416422,NA,NA,"Pericyte"
"2","VSMC","MCAM",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",6.02702841294771,5.92830156879033,3.26594461832355,1,1,67.5500422892585,1.35637642096854,0.00915168885265016,0.0268965973563124,"Pericyte"
"3","Pericyte","MCAM",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",0.152333710257173,-0.0703855972521069,-3.37902882797207,0.625,0.375,29.7183098591549,0.479555289363848,0.833634883024682,0.90835382565106,"Pericyte"
"0","FB","PLN",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-9.17446997744232,-8.30483862925642,-11.3673937004738,0,0,0.686973428386261,0.00767519607080118,NA,NA,"Pericyte"
"1","Myofib","PLN",3,"DD1;DD2;DD3",-6.89842584416837,-6.58043856161324,-7.06176022855675,0,0,1.65829145728643,0.00807160107322519,NA,NA,"Pericyte"
"2","VSMC","PLN",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",7.15666116396531,7.76748630049312,4.87193129354464,1,1,81.420919086552,1.95760487491184,0.00915168885265016,0.0268965973563124,"Pericyte"
"3","Pericyte","PLN",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",-1.8071362036998,-2.33953287588714,-10.5823692515935,0.125,0.125,18.3098591549296,0.295249612036107,0.058707408431205,0.186984797965915,"Pericyte"
"0","FB","RGS5",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-6.22374511464049,-6.20118770846779,-8.58147630627735,0,0,1.19248217757615,0.0152064692515539,NA,NA,"Pericyte"
"1","Myofib","RGS5",3,"DD1;DD2;DD3",-7.99734208350092,-8.8610386312907,-11.0963987703695,0,0,0.85427135678392,0.00427613913368737,NA,NA,"Pericyte"
"2","VSMC","RGS5",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",3.68117987040717,3.15986473725471,0.042688816155561,1,0.888888888888889,47.5049337468283,1.22191863329687,0.00915168885265016,0.0268965973563124,"Pericyte"
"3","Pericyte","RGS5",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",3.26396813326245,3.252496221253,1.26950083867752,1,1,57.1830985915493,1.81341003578456,0.0142661867014469,0.0990762069541866,"Pericyte"
"0","FB","STEAP4",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-0.753166762524173,-1.14243707230585,-3.08788995864225,0.111111111111111,0.111111111111111,10.3694102397926,0.138091369500761,0.0580240199462214,0.111797357569386,"Pericyte"
"1","Myofib","STEAP4",3,"DD1;DD2;DD3",-3.57070728844193,-4.13681234343885,-5.7392362228556,0,0,2.8391959798995,0.0255013786390804,NA,NA,"Pericyte"
"2","VSMC","STEAP4",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-2.84656876465789,-2.82043026370822,-3.64077411664312,0,0,2.0862700873978,0.0329922062075711,NA,NA,"Pericyte"
"3","Pericyte","STEAP4",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",5.25881892016258,5.08780009961763,3.33570466437121,1,1,62.9577464788732,1.30345694705869,0.0142661867014469,0.0990762069541866,"Pericyte"
"0","FB","ACTA2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-6.73215492292812,-6.63056615501617,-9.44239517180754,0,0,15.800388852884,0.172495140727133,0.00915168885265007,0.0417538937388919,"VSMC"
"1","Myofib","ACTA2",3,"DD1;DD2;DD3",-2.56799861204429,-2.41475864742631,-2.82244873173683,0,0,62.4874371859297,0.798825585655452,0.18144920772142,0.288215063359144,"VSMC"
"2","VSMC","ACTA2",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",4.32509750296527,4.71885486558435,2.53244282564472,1,1,99.0132506343389,4.30865835291706,0.00915168885265016,0.0268965973563124,"VSMC"
"3","Pericyte","ACTA2",8,"Dermis1;Dermis2;Dermis3;SF1;SF2;DD1;DD2;DD3",0.634223432529169,0.861537632046191,-0.799869850940079,0.875,0.75,86.4084507042253,2.92304510269645,0.0800579199844347,0.223732632999979,"VSMC"
"0","FB","BCAM",9,"Dermis1;Dermis2;Dermis3;SF1;SF2;SF3;DD1;DD2;DD3",-6.88185911545359,-6.79422495310094,-10.4519781260584,0,0,2.43681140635126,0.0249708933955765,NA,NA,"VSMC"
