"gene","sample","comparator_identity","myofib_log2CPM","comparator_log2CPM","myofib_minus_comparator_log2CPM"
"TEAD4","DD1","Pericyte",3.06297340197105,2.91964347233446,0.14332992963659
"TEAD4","DD2","FB",3.3175752852893,2.26417236380429,1.053402921485
"TEAD4","DD2","VSMC",3.3175752852893,3.88652824600444,-0.568952960715139
"TEAD4","DD2","Pericyte",3.3175752852893,4.01462320785115,-0.697047922561852
"TEAD4","DD3","FB",2.42053222206746,-1,3.42053222206746
"TEAD4","DD3","VSMC",2.42053222206746,2.81187112467215,-0.391338902604689
"TEAD4","DD3","Pericyte",2.42053222206746,3.41796971602732,-0.997437493959862
"ITGA2","DD1","FB",3.23688973269017,1.63705988894979,1.59982984374039
"ITGA2","DD1","VSMC",3.23688973269017,-1,4.23688973269017
"ITGA2","DD1","Pericyte",3.23688973269017,-1,4.23688973269017
"ITGA2","DD2","FB",2.21696489867185,1.34677514163675,0.870189757035104
"ITGA2","DD2","VSMC",2.21696489867185,-1,3.21696489867185
"ITGA2","DD2","Pericyte",2.21696489867185,-1,3.21696489867185
"ITGA2","DD3","FB",3.83103771346272,2.16802808145786,1.66300963200486
"ITGA2","DD3","VSMC",3.83103771346272,0.331311904247459,3.49972580921526
"ITGA2","DD3","Pericyte",3.83103771346272,-1,4.83103771346272
"WWTR1","DD1","FB",6.13763992266662,5.01601654264766,1.12162338001896
"WWTR1","DD1","VSMC",6.13763992266662,4.81297419255247,1.32466573011415
"WWTR1","DD1","Pericyte",6.13763992266662,4.82207677007847,1.31556315258815
"WWTR1","DD2","FB",6.72838393669494,5.64040723942034,1.08797669727459
"WWTR1","DD2","VSMC",6.72838393669494,4.83779616270605,1.89058777398888
"WWTR1","DD2","Pericyte",6.72838393669494,5.32350097702861,1.40488295966633
"WWTR1","DD3","FB",6.17837135208383,6.19049070793003,-0.0121193558462016
"WWTR1","DD3","VSMC",6.17837135208383,5.64488072282701,0.533490629256823
"WWTR1","DD3","Pericyte",6.17837135208383,5.4589107708575,0.719460581226329
