"sample","source","seurat_cluster","reproduced_identity","singlet_cells","gene","percent_cells_expressing","mean_log_normalized_expression"
"SF2","SF","0","FB",885,"TRPA1",0.677966101694915,0.00823349368857053
"SF2","SF","0","FB",885,"TRPC1",11.7514124293785,0.108831864911853
"SF2","SF","0","FB",885,"TRPC3",0.225988700564972,0.00171406880280449
"SF2","SF","0","FB",885,"TRPC6",0,0
"SF2","SF","0","FB",885,"ASIC1",1.01694915254237,0.0106171701204553
"SF2","SF","0","FB",885,"ASIC2",0,0
"SF2","SF","0","FB",885,"ASIC3",0.338983050847458,0.00234445962864075
"SF2","SF","0","FB",885,"KCNK2",6.66666666666667,0.0637460654995294
"SF2","SF","0","FB",885,"KCNK4",0.338983050847458,0.00272776650391412
"SF2","SF","0","FB",885,"TMEM63A",8.24858757062147,0.0744969388411925
"SF2","SF","0","FB",885,"TMEM150C",5.31073446327684,0.0526742480182182
"SF2","SF","0","FB",885,"P2RX4",9.71751412429379,0.0792473484771949
"SF2","SF","0","FB",885,"P2RX7",5.87570621468927,0.0580979510201531
"SF2","SF","0","FB",885,"PDPN",16.4971751412429,0.150023333702932
"SF2","SF","0","FB",885,"SCX",18.6440677966102,0.273728884720445
"SF2","SF","0","FB",885,"FAP",44.6327683615819,0.54746943511296
"SF2","SF","0","FB",885,"POSTN",3.27683615819209,0.0744153309660093
"SF2","SF","0","FB",885,"PDGFRA",64.4067796610169,0.885696817954712
"SF2","SF","0","FB",885,"APOD",40.5649717514124,1.06673978088856
"SF3","SF","0","FB",369,"CNN1",1.0840108401084,0.00809104275600987
"SF3","SF","0","FB",369,"ITGA8",6.23306233062331,0.0667317250929309
"SF3","SF","0","FB",369,"TAGLN",22.7642276422764,0.328699039869286
"SF3","SF","0","FB",369,"ACTA2",13.8211382113821,0.140244749365143
"SF3","SF","0","FB",369,"TPM1",76.9647696476965,1.28068032049264
"SF3","SF","0","FB",369,"TPM2",33.6043360433604,0.384532448570799
"SF3","SF","0","FB",369,"ITGB1",86.1788617886179,1.42253319727201
"SF3","SF","0","FB",369,"ITGAV",38.2113821138211,0.457221425389837
"SF3","SF","0","FB",369,"BCAR1",8.13008130081301,0.0830441096632625
"SF3","SF","0","FB",369,"PIEZO2",13.2791327913279,0.153686024050578
"SF3","SF","0","FB",369,"TEAD2",5.14905149051491,0.0527791573709216
"SF3","SF","0","FB",369,"LIMK1",6.23306233062331,0.0628020613018636
"SF3","SF","0","FB",369,"CNN2",14.3631436314363,0.146290201701391
"SF3","SF","0","FB",369,"TEAD3",4.8780487804878,0.0500713755360775
"SF3","SF","0","FB",369,"PFN1",71.8157181571816,1.03512012310287
