"module","role","gene","filename","identifier_type","matched_symbol","present","audit_error"
"mechanosensor_channels","primary","PKD1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","PKD1",TRUE,""
"mechanosensor_channels","primary","PKD2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","PKD2",TRUE,""
"mechanosensor_channels","primary","TMEM63A","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TMEM63A",TRUE,""
"mechanosensor_channels","primary","TMEM63B","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TMEM63B",TRUE,""
"mechanosensor_channels","primary","TMEM150C","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","TMEM150C",TRUE,""
"mechanosensor_channels","primary","PANX1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","PANX1",TRUE,""
"mechanosensor_channels","primary","P2RX4","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","P2RX4",TRUE,""
"mechanosensor_channels","primary","P2RX7","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","P2RX7",TRUE,""
"integrin_focal_adhesion","primary","ITGA1","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGA1",TRUE,""
"integrin_focal_adhesion","primary","ITGA2","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGA2",TRUE,""
"integrin_focal_adhesion","primary","ITGA5","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGA5",TRUE,""
"integrin_focal_adhesion","primary","ITGA6","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGA6",TRUE,""
"integrin_focal_adhesion","primary","ITGA8","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGA8",TRUE,""
"integrin_focal_adhesion","primary","ITGA11","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGA11",TRUE,""
"integrin_focal_adhesion","primary","ITGAV","GSE300230_raw_counts_tensionTGFb.csv.gz","gene_symbol_or_mixed","ITGAV",TRUE,""
