"sample","source","condition","seurat_cluster","reproduced_identity","module","singlet_cells","mean_cell_score","median_cell_score","sd_cell_score"
"DD1","DD","DD","2","VSMC","tgf_fibrosis",512,-0.163274175705563,-0.176114855739036,0.12040440660368
"DD1","DD","DD","2","VSMC","inflammation_ap1_nfkb",512,0.187925584024691,0.18959514176095,0.287994431933285
"DD1","DD","DD","2","VSMC","hypoxia",512,-0.0458384510092075,-0.0489729174247035,0.137866667199618
"DD1","DD","DD","2","VSMC","cell_cycle",512,-0.0469222442885047,-0.0613605092783081,0.0562956064198246
"DD1","DD","DD","2","VSMC","primary_mechanotransduction_composite",512,0.180345398541303,0.18153521234125,0.0890323277338054
"DD2","DD","DD","2","VSMC","mechanosensor_channels",331,-0.0790778690076244,-0.0894934282300778,0.0481406112570913
"DD2","DD","DD","2","VSMC","integrin_focal_adhesion",331,-0.0410135164661212,-0.0513371923342318,0.12053316309319
"DD2","DD","DD","2","VSMC","hippo_yap_taz",331,-0.075679067629703,-0.0857243847946632,0.120891740567272
"DD2","DD","DD","2","VSMC","actomyosin_rho",331,0.905239582203672,0.918319566072708,0.296706244518128
"DD2","DD","DD","2","VSMC","ecm_remodeling",331,-0.621403341988606,-0.64436875960805,0.212230734249157
"DD2","DD","DD","2","VSMC","tgf_fibrosis",331,-0.140112384208883,-0.15173145407859,0.11237782519802
"DD2","DD","DD","2","VSMC","inflammation_ap1_nfkb",331,0.199841316808098,0.208592327385929,0.25984287816668
"DD2","DD","DD","2","VSMC","hypoxia",331,-0.0663579576105064,-0.0658512978096005,0.125878405118483
"DD2","DD","DD","2","VSMC","cell_cycle",331,-0.0565619080163955,-0.0693370486623505,0.0540027737041154
"DD2","DD","DD","2","VSMC","primary_mechanotransduction_composite",331,0.177367282275056,0.179016697850018,0.0913103621139433
"DD3","DD","DD","2","VSMC","mechanosensor_channels",389,-0.0810005981565068,-0.0918440386573008,0.057995891812764
