"module","role","method","cell_line","contrast","contrast_value"
"hypoxia","competitor","centered_mean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.276834024536436
"hypoxia","competitor","centered_mean","GM09503","mechanical_x_tgfb",0.314208519198809
"hypoxia","competitor","centered_mean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.0185660495041941
"hypoxia","competitor","centered_mean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",0.187360911302669
"hypoxia","competitor","centered_mean","GM08401","mechanical_x_tgfb",0.168794861798475
"cell_cycle","competitor","centered_mean","GM09503","mechanical_tension_vs_relaxed_tgfb_absent",0.829617860256082
"cell_cycle","competitor","centered_mean","GM09503","mechanical_tension_vs_relaxed_tgfb_present",0.52537529162583
"cell_cycle","competitor","centered_mean","GM09503","mechanical_x_tgfb",-0.304242568630252
"cell_cycle","competitor","centered_mean","GM08401","mechanical_tension_vs_relaxed_tgfb_absent",0.173778388006484
"cell_cycle","competitor","centered_mean","GM08401","mechanical_tension_vs_relaxed_tgfb_present",-0.304489755273695
"cell_cycle","competitor","centered_mean","GM08401","mechanical_x_tgfb",-0.478268143280179
