source,sample_id,target_state,pair_family,gene_a,gene_b,cells,gene_a_detection_rate,gene_b_detection_rate,observed_co_detection_rate,expected_independence_rate,excess_co_detection_rate,co_detection_enrichment_ratio,permutation_p_one_sided,permutation_reps,library_size_stratified,library_size_field
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA2,CDC42,1290,0.024806201550387597,0.5728682170542636,0.018604651162790697,0.014210684454059251,0.004393966708731446,1.3092016238159674,0.024875621890547265,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,PARVA,CFL1,1290,0.4263565891472868,0.7178294573643411,0.3635658914728682,0.3060513190313082,0.05751457244156,1.1879246023954446,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,PARVA,LIMK1,1290,0.4263565891472868,0.12248062015503876,0.06201550387596899,0.05222041944594676,0.009795084430022229,1.1875719217491367,0.024875621890547265,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,PARVA,CNN2,1290,0.4263565891472868,0.28837209302325584,0.1744186046511628,0.12294934198665945,0.05146926266450334,1.4186217008797655,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,PARVA,CDC42,1290,0.4263565891472868,0.5728682170542636,0.313953488372093,0.2442461390541434,0.06970734931794961,1.2853979579284043,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA5,CFL1,1290,0.4325581395348837,0.7178294573643411,0.3550387596899225,0.3105029745808545,0.04453578510906797,1.1434311061566689,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA5,LIMK1,1290,0.4325581395348837,0.12248062015503876,0.06589147286821706,0.052979989183342346,0.012911483684874714,1.2437049135701648,0.009950248756218905,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA5,CNN2,1290,0.4325581395348837,0.28837209302325584,0.16899224806201552,0.12473769605191996,0.04425455201009555,1.3547808995259567,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,ITGA5,CDC42,1290,0.4325581395348837,0.5728682170542636,0.2961240310077519,0.24779881016765823,0.04832522084009369,1.1950179696480274,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,FERMT2,CFL1,1290,0.6558139534883721,0.7178294573643411,0.5131782945736434,0.47076257436452135,0.04241572020912204,1.0901000260404698,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,FERMT2,LIMK1,1290,0.6558139534883721,0.12248062015503876,0.08914728682170543,0.08032449972958355,0.008822787092121878,1.1098393033485952,0.024875621890547265,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,FERMT2,CNN2,1290,0.6558139534883721,0.28837209302325584,0.2302325581395349,0.18911844240129802,0.04111411573823687,1.217398764584763,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_actomyosin,FERMT2,CDC42,1290,0.6558139534883721,0.5728682170542636,0.44108527131782943,0.37569497025419146,0.06539030106363797,1.174051574391309,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGAV,PIEZO2,1290,0.0,0.3023255813953488,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGAV,TMEM63B,1290,0.0,0.13488372093023257,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGAV,PANX1,1290,0.0,0.11472868217054263,0.0,0.0,0.0,nan,1.0,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGB1,PIEZO2,1290,0.8813953488372093,0.3023255813953488,0.27209302325581397,0.2664683612763656,0.0056246619794483865,1.0211081794195251,0.10945273631840796,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGB1,TMEM63B,1290,0.8813953488372093,0.13488372093023257,0.13023255813953488,0.11888588426176312,0.01134667387777176,1.0954417250477664,0.004975124378109453,200,False,NOT_AVAILABLE
PRJNA607098,SRS6155881,F7: Fascia-like myofibroblast,integrin_x_mechanosensor,ITGB1,PANX1,1290,0.8813953488372093,0.11472868217054263,0.11085271317829458,0.10112132684333874,0.009731386334955835,1.0962347571846254,0.004975124378109453,200,False,NOT_AVAILABLE
