source,sample_id,target_state,gene,cells,detected_cells,detection_rate,library_size_field
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,CDC42,698,474,0.6790830945558739,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,CFL1,698,655,0.9383954154727794,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,CNN2,698,323,0.46275071633237824,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,FERMT2,698,548,0.7851002865329513,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,ITGA2,698,16,0.022922636103151862,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,ITGA5,698,395,0.5659025787965616,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,ITGAV,698,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,ITGB1,698,603,0.8638968481375359,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,LIMK1,698,114,0.16332378223495703,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,NF2,698,121,0.17335243553008595,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,PANX1,698,84,0.12034383954154727,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,PARVA,698,355,0.5085959885386819,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,PIEZO2,698,174,0.2492836676217765,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,TEAD1,698,144,0.20630372492836677,NOT_AVAILABLE
PRJNA607098,SRS6155888,F7: Fascia-like myofibroblast,TMEM63B,698,154,0.22063037249283668,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,CDC42,9008,5702,0.6329928952042628,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,CFL1,9008,7975,0.8853241563055062,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,CNN2,9008,2662,0.29551509769094136,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,FERMT2,9008,5725,0.6355461811722913,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,ITGA2,9008,263,0.02919626998223801,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,ITGA5,9008,4537,0.5036634103019538,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,ITGAV,9008,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,ITGB1,9008,8077,0.8966474245115453,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,LIMK1,9008,1534,0.17029307282415632,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,NF2,9008,1432,0.15896980461811722,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,PANX1,9008,1088,0.12078152753108348,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,PARVA,9008,4350,0.48290408525754885,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,PIEZO2,9008,2243,0.24900088809946713,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,TEAD1,9008,2074,0.2302397868561279,NOT_AVAILABLE
PRJNA607098,SRS6155889,F7: Fascia-like myofibroblast,TMEM63B,9008,2013,0.22346802841918295,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,CDC42,1172,736,0.6279863481228669,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,CFL1,1172,1101,0.939419795221843,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,CNN2,1172,317,0.27047781569965873,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,FERMT2,1172,938,0.8003412969283277,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,ITGA2,1172,14,0.011945392491467578,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,ITGA5,1172,593,0.5059726962457338,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,ITGAV,1172,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,ITGB1,1172,1016,0.8668941979522184,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,LIMK1,1172,203,0.17320819112627986,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,NF2,1172,171,0.14590443686006827,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,PANX1,1172,105,0.08959044368600683,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,PARVA,1172,520,0.44368600682593856,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,PIEZO2,1172,216,0.18430034129692832,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,TEAD1,1172,189,0.1612627986348123,NOT_AVAILABLE
PRJNA607098,SRS6155890,F7: Fascia-like myofibroblast,TMEM63B,1172,230,0.1962457337883959,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,CDC42,34,27,0.7941176470588235,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,CFL1,34,32,0.9411764705882353,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,CNN2,34,16,0.47058823529411764,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,FERMT2,34,26,0.7647058823529411,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,ITGA2,34,2,0.058823529411764705,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,ITGA5,34,18,0.5294117647058824,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,ITGAV,34,0,0.0,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,ITGB1,34,32,0.9411764705882353,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,LIMK1,34,7,0.20588235294117646,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,NF2,34,8,0.23529411764705882,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,PANX1,34,9,0.2647058823529412,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,PARVA,34,17,0.5,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,PIEZO2,34,9,0.2647058823529412,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,TEAD1,34,14,0.4117647058823529,NOT_AVAILABLE
PRJNA607098,SRS6155891,F7: Fascia-like myofibroblast,TMEM63B,34,5,0.14705882352941177,NOT_AVAILABLE
