"source","pair_family","gene_a","gene_b","samples","positive_samples","median_excess_co_detection_rate","IQR_excess_co_detection_rate","median_enrichment_ratio","median_permutation_p","wilcoxon_one_sided_p","BH_FDR_within_source_pair_family","descriptive_within_sample_support"
"PRJNA607098","integrin_x_mechanosensor","ITGB1","PANX1",12,12,0.0059455844170152,0.00266188288187754,1.05103577233327,0.0597014925373134,0.00110886073211853,0.00431012089177878,TRUE
"GSE130973","integrin_x_mechanosensor","PARVA","PANX1",5,3,0.000376268156316317,0.00129320897015183,1.03568495235688,0.507462686567164,0.342915217225803,0.514372825838704,FALSE
"PRJNA607098","integrin_x_mechanosensor","PARVA","PANX1",12,12,0.0131525362263567,0.0113511429736484,1.23170975911506,0.0149253731343284,0.00110886073211853,0.00431012089177878,TRUE
"GSE130973","integrin_x_mechanosensor","FERMT2","PIEZO2",5,2,-0.0002198971826772,0.00117269542619859,0.971688517319713,0.592039800995025,0.553630799527826,0.664356959433391,FALSE
"PRJNA607098","integrin_x_mechanosensor","FERMT2","PIEZO2",12,8,0.00166077038000917,0.00807912132818643,1.00900163666121,0.537313432835821,0.0911691770903842,0.117217513401923,FALSE
"GSE130973","integrin_x_mechanosensor","ITGA2","PIEZO2",5,3,0.000312066900682774,0.000723665847509483,1.30695531674727,0.467661691542289,0.342915217225803,0.514372825838704,FALSE
"PRJNA607098","integrin_x_mechanosensor","ITGA2","PIEZO2",12,9,0.00148947426296614,0.00279346862179702,1.35042863164091,0.32089552238806,0.0170852363461147,0.0307534254230065,TRUE
"GSE130973","integrin_x_mechanosensor","ITGA5","PIEZO2",5,1,-0.000415826315196125,0.000491484900893709,0.913952680388798,0.711442786069652,0.749907871464603,0.749907871464603,FALSE
"PRJNA607098","integrin_x_mechanosensor","ITGA5","PIEZO2",12,10,0.0151199691727871,0.00852979231151022,1.12310771251157,0.00995024875621891,0.00237088401920349,0.00609655890652326,TRUE
"GSE130973","integrin_x_mechanosensor","ITGAV","PIEZO2",5,3,6.49003544928722e-05,0.000903256887674483,1.00819868625277,0.616915422885572,0.250092128535397,0.450165831363715,FALSE
"PRJNA607098","integrin_x_mechanosensor","ITGAV","PIEZO2",12,0,0,0,NA,1,1,1,FALSE
"GSE130973","integrin_x_mechanosensor","ITGB1","PIEZO2",5,4,0.000621767028984458,0.00231878557022997,1.05349393659233,0.388059701492537,0.112457942007981,0.28917756516338,FALSE
