"gene","module","step08C2_support","step08C2_interpretation","step10B_role","log2fc","ave_expr","t","p_value","q_genome","cell_line","age_background","contrast","present_after_filter","q_candidate"
"PIEZO2","mechanosensor_channels",FALSE,"opposite_or_weak_sample_level_support","mechanosensor_specificity_candidate",0.542366289358388,2.22221113501495,0.942279639288014,0.363717467228407,0.538980481848897,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.495978364402373
"TMEM63B","mechanosensor_channels",FALSE,"not_strictly_supported","mechanosensor_specificity_candidate",0.24389374118911,5.47111301790986,0.994343212930978,0.338717037637014,0.515468600866657,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.495978364402373
"PANX1","mechanosensor_channels",FALSE,"not_supported_in_paired_sample_analysis","mechanosensor_specificity_candidate",1.16474092135301,6.12793738269265,4.10483709306531,0.00165877591989475,0.0164542813567001,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.00497632775968424
"NF2","hippo_yap_taz",TRUE,"consistent_sample_level_support","downstream_mechanotransduction_candidate",0.298967351202617,6.51426092140198,1.74037186080017,0.106071551818268,0.240545596206741,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.227296182467716
"TEAD1","hippo_yap_taz",FALSE,"not_supported_in_paired_sample_analysis","downstream_mechanotransduction_candidate",-0.143233648941727,8.49594431342776,-0.859148857650174,0.406262995225072,0.578558665328089,"GM09503","young_10y","mechanical_x_tgfb",TRUE,0.50782874403134
"ITGAV","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.27897815311162,9.01439831811927,3.84070673840251,0.00143230539994293,0.0129518124033711,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.00400681219327734
"ITGB1","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.111213485506099,11.5318063303912,1.4625222572357,0.1628730189691,0.363239346695422,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.271455031615166
"ITGA2","integrin_focal_adhesion",FALSE,"not_supported_in_paired_sample_analysis","negative_candidate",-0.10853926742976,9.25928355995145,-1.11204030930066,0.286532422562846,0.511508760168396,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.358165528203558
"PARVA","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.0779497085152467,9.05398393215613,1.13881761619313,0.271465675140679,0.494424729454984,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.358165528203558
"ITGA5","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.0200048201489356,8.38265420386552,-0.293450245327333,0.772932477969024,0.888712143634186,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.772932477969024
"FERMT2","integrin_focal_adhesion",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.471954663818108,7.61279496329138,6.22469848276338,1.18969294113046e-05,0.000292315865245734,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,8.92269705847842e-05
"CFL1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.404724842465596,9.29055916900026,5.99978761416444,1.81621135370891e-05,0.000408661721599743,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,9.08105676854453e-05
"LIMK1","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",-0.349900977311044,6.75767382983139,-3.78880201468999,0.00160272487731093,0.0140865940922947,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.00400681219327734
"CNN2","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.487905341539836,8.93472977679813,6.80819020976147,4.09989675675395e-06,0.000126972317474996,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,6.14984513513092e-05
"CDC42","actomyosin_rho",TRUE,"consistent_sample_level_support","confirmatory_candidate",0.271422672448652,1.43500408513567,0.789779192204587,0.441151048652386,0.655747869186166,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.509020440752753
"PIEZO2","mechanosensor_channels",FALSE,"opposite_or_weak_sample_level_support","mechanosensor_specificity_candidate",0.441195206937898,0.499684784837928,1.24438423897822,0.231195820021285,0.447733355388468,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.346793730031927
"TMEM63B","mechanosensor_channels",FALSE,"not_strictly_supported","mechanosensor_specificity_candidate",0.223461185041237,5.46998467968196,2.454964707074,0.0258528465832282,0.10730233273954,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.0553989569640605
"PANX1","mechanosensor_channels",FALSE,"not_supported_in_paired_sample_analysis","mechanosensor_specificity_candidate",-0.421572529370246,5.57150699950747,-4.5021746891041,0.000357910520449363,0.00441964335311744,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.00134216445168511
"NF2","hippo_yap_taz",TRUE,"consistent_sample_level_support","downstream_mechanotransduction_candidate",0.137366700275948,6.56922553820918,1.72996714569824,0.102784579275014,0.271239045399934,"GM08401","older_75y","mechanical_tension_vs_relaxed_tgfb_absent",TRUE,0.192721086140651
